section,category,channel,channel_file,channel_id,url,status,working,error
كاس العالم 2026,YALLA SPORT,بلجيكا vs إيران,parser_sport_4,20443,"<iframe src=""https://hd.muesra.sbs/albaplayer/oooe/"" width=""100%"" height=""500"" frameborder=""0"" allowfullscreen allow=""autoplay; fullscreen"" sandbox=""allow-scripts allow-same-origin allow-fullscreen""></iframe>",error,False,%3Ciframe%20src=%22https://hd.muesra.sbs/albaplayer/oooe/%22%20width=%22100%25%22%20height=%22500%22%20frameborder=%220%22%20allowfullscreen%20allow=%22autoplay;%20fullscreen%22%20sandbox=%22allow-scripts%20allow-same-origin%20allow-fullscreen%22%3E%3C/iframe%3E
كاس العالم 2026,YALLA SPORT,بلجيكا vs إيران,parser_sport_4,20443,"<iframe src=""https://6.kooralive360.com/albaplayer/bein-sports-hd-1/"" width=""100%"" height=""500"" frameborder=""0"" allowfullscreen allow=""autoplay; fullscreen"" sandbox=""allow-scripts allow-same-origin allow-fullscreen""></iframe>",error,False,%3Ciframe%20src=%22https://6.kooralive360.com/albaplayer/bein-sports-hd-1/%22%20width=%22100%25%22%20height=%22500%22%20frameborder=%220%22%20allowfullscreen%20allow=%22autoplay;%20fullscreen%22%20sandbox=%22allow-scripts%20allow-same-origin%20allow-fullscreen%22%3E%3C/iframe%3E
Arabic Tv,الجزائر,Amou Yazid TV (576p),algérie,2017,http.com:1940/AmouYazid/ay1/playlist.m3u8,error,False,http.com:1940/AmouYazid/ay1/playlist.m3u8
Bein Group,بي إن سبورت عربي,beIN Global,beiin_sports,3898,http://127.0.0.1:63000/live/me_channel?me_url=turbo://live.0vcmc02vl8agx9z8jqsx/795cc83cb71b7c4a7100533e61987a915721,connection_error,False,Failed to connect
كاس العالم 2026,MAX SPORT M3u,❸ Faher TV 5,parser_sport_3,20436,http://akar13.xyz/live/4750034742512197/3177932697568638/463536.ts,connection_error,False,Failed to connect
كاس العالم 2026,MAX SPORT M3u,❸ Fajer TV 4,parser_sport_3,20435,http://akar13.xyz/live/4750034742512197/3177932697568638/463535.ts,connection_error,False,Failed to connect
Bein Group,بي إن سبورت عربي,BeiN 7,beiin_sports,3897,http://135.125.109.73:9000/beinsport7_.m3u8,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- La7FHD,italytv,5837,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/586,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- Rai2HD,italytv,5849,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/568,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- Italia uno FHD,italytv,5841,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/582,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- SkyCinemaFamilyFHD,italytv,5833,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/590,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- RSILa1FHD,italytv,5845,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/578,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- RaiSportFHD,italytv,5857,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/575,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- RaiGulpFHD,italytv,5853,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/573,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- SkyCinemaComedyFHD,italytv,5830,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/593,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- MediasetEXTRA,italytv,5838,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/585,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- SkyCinemaDueFHD,italytv,5834,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/589,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- RSILa2FHD,italytv,5846,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/577,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- RaiStoriaFHD,italytv,5858,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/574,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- Italia1HD,italytv,5842,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/581,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- Rai3FHD,italytv,5850,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/567,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- RaiMovieFHD,italytv,5854,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/572,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- SkyCinemaUnoFHD,italytv,5835,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/588,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- Rai1FHD,italytv,5847,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/570,connection_error,False,Failed to connect
World Tv,TURKEY,,turkey,5862,http://dreamsat.h2t.cx:8080/SP_ARABIC/dgKUEDcq/3040,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- RealTimeD-FHD,italytv,5843,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/580,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- SkyCinemaActionFHD,italytv,5831,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/592,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- RaiPremiumFHD,italytv,5855,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/571,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- Canale5FHD,italytv,5839,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/584,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- Rai4 HD,italytv,5851,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/565,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- Rai2FHD,italytv,5848,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/569,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- Rete4FHD,italytv,5844,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/579,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- Canale5HD,italytv,5840,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/583,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- LA7d FHD,italytv,5836,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/587,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- SkyCinemaDramaFHD,italytv,5832,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/591,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- Rai5 HD,italytv,5852,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/564,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- RaiScuolaFHD,italytv,5856,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/576,connection_error,False,Failed to connect
World Tv,ITALYTV,Italian- SkyCinemaSuspenceFHD,italytv,5829,http://dreamsat.h2t.cx:8080/Snappy_SD/p2h8yFB1/594,connection_error,False,Failed to connect
كاس العالم 2026,AYA SPORT HD,HD2,parser_sport_5,20450,https://prod-fastly-eu-west-1.video.pscp.tv/Transcoding/v1/hls/vp42fGyiR0wcwTReumotDgYgKbwneCdegiWleWDNWotXueaRqu0plPRy0iUaCUHLwyFI4Bhgn9MMfOP_2vX6qw/transcode/eu-west-1/periscope-replay-direct-prod-eu-west-1-public/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsInZlcnNpb24iOiIyIn0.eyJFbmNvZGVyU2V0dGluZyI6ImVuY29kZXJfc2V0dGluZ183MjBwMzBfMTAiLCJIZWlnaHQiOjcyMCwiS2JwcyI6Mjc1MCwiV2lkdGgiOjEyODB9.ldktM4fCFRfkP4ZEBfZPKtlAUNAcTPkoz994YJAzWpE/dynamic_delta.m3u8?type=live,403,False,Status 403 or empty
كاس العالم 2026,SPORT EVENT MATCH LIVE,Aya8,sport_event_match_live,20490,https://prod-fastly-eu-west-1.video.pscp.tv/Transcoding/v1/hls/3xPCOGPxoFnsIOqj1Z-LnlsM1JkjdVb44RxrzHJ-vX1svBBsfRsbh0XGjX76tlEHoJpW2mMn8JMLPsixebBUMg/non_transcode/eu-west-1/periscope-replay-direct-prod-eu-west-1-public/master_dynamic_delta.m3u8?type=live,200,True,
كاس العالم 2026,AYA SPORT HD,AR 2/2,parser_sport_5,20460,https://prod-fastly-eu-west-1.video.pscp.tv/Transcoding/v1/hls/asK9y5wYO2Uy6vvE6zeLLcDaKoP5AZe6LKqjNajBdlDJ8QX0GObdMSfHcJSqPHbr2ZNNP00XGaS979wKAlwDHg/non_transcode/eu-west-1/periscope-replay-direct-prod-eu-west-1-public/master_dynamic_delta.m3u8?type=live,200,True,
كاس العالم 2026,MAX SPORT M3u,⚪ POST 4,parser_sport_3,20440,http://palestine.vibertv.cyou/post4/index.m3u8,403,False,Status 403 or empty
كاس العالم 2026,MAX SPORT M3u,⚪ POST 6,parser_sport_3,20442,http://palestine.vibertv.cyou/post6/index.m3u8,403,False,Status 403 or empty
كاس العالم 2026,MAX SPORT M3u,⚪ POST 1,parser_sport_3,20437,http://palestine.vibertv.cyou/post1/index.m3u8,404,False,Status 404 or empty
كاس العالم 2026,AYA SPORT HD,SD3,parser_sport_5,20467,https://prod-fastly-eu-west-1.video.pscp.tv/Transcoding/v1/hls/Rzr-NP3Am-MCbsEhWSYVB_4aUeOjyor-ADfv_85Jdb62fu_d1NakKNSlpXtbKBCL41_jFiSx07ZK1ArVpp0OjA/transcode/eu-west-1/periscope-replay-direct-prod-eu-west-1-public/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsInZlcnNpb24iOiIyIn0.eyJFbmNvZGVyU2V0dGluZyI6ImVuY29kZXJfc2V0dGluZ18yMjRwMzBfMTAiLCJIZWlnaHQiOjIyNCwiS2JwcyI6MzAwLCJUcmFuc2NvZGVBdWRpbyI6dHJ1ZSwiV2lkdGgiOjQwMH0.7bJSUVkCCWY9mtayJTkJOzF7SBt0W-fOgmaXO9-OjnM/dynamic_delta.m3u8?type=live,404,False,Status 404 or empty
كاس العالم 2026,AYA SPORT HD,BUZ,parser_sport_5,20453,https://man1ted.com/get.php?ch=beemax1:faulio,400,False,Status 400 or empty
كاس العالم 2026,AYA SPORT HD,FR 1HD,parser_sport_5,20477,https://prod-fastly-eu-west-1.video.pscp.tv/Transcoding/v1/hls/2ulw1km-RpyFP2cWOti3K6qGbRGxJxaBsVm_lJLJGfragaeT-oWnfDGoVOfAR3ZmjvLoiYFKhOUAF1snEcyFcQ/transcode/eu-west-1/periscope-replay-direct-prod-eu-west-1-public/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsInZlcnNpb24iOiIyIn0.eyJFbmNvZGVyU2V0dGluZyI6ImVuY29kZXJfc2V0dGluZ183MjBwMzBfMTAiLCJIZWlnaHQiOjcyMCwiS2JwcyI6Mjc1MCwiV2lkdGgiOjEyODB9.ldktM4fCFRfkP4ZEBfZPKtlAUNAcTPkoz994YJAzWpE/dynamic_delta.m3u8?type=live,404,False,Status 404 or empty
كاس العالم 2026,AYA SPORT HD,AR 2,parser_sport_5,20454,https://prod-fastly-eu-west-1.video.pscp.tv/Transcoding/v1/hls/3xPCOGPxoFnsIOqj1Z-LnlsM1JkjdVb44RxrzHJ-vX1svBBsfRsbh0XGjX76tlEHoJpW2mMn8JMLPsixebBUMg/non_transcode/eu-west-1/periscope-replay-direct-prod-eu-west-1-public/master_dynamic_delta.m3u8?type=live,200,True,
كاس العالم 2026,AYA SPORT HD,AR 2/2HD,parser_sport_5,20463,https://prod-fastly-eu-west-1.video.pscp.tv/Transcoding/v1/hls/rzKPmyZvyFE0a1vDsV34_igvxZ6WgyHUXgXou7pfbMxlw6hpvmPcmDCbY0BxHZuCV8_CXyIc6aNOnGGOavHpdg/transcode/eu-west-1/periscope-replay-direct-prod-eu-west-1-public/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsInZlcnNpb24iOiIyIn0.eyJFbmNvZGVyU2V0dGluZyI6ImVuY29kZXJfc2V0dGluZ183MjBwMzBfMTAiLCJIZWlnaHQiOjcyMCwiS2JwcyI6Mjc1MCwiV2lkdGgiOjEyODB9.ldktM4fCFRfkP4ZEBfZPKtlAUNAcTPkoz994YJAzWpE/dynamic_delta.m3u8?type=live,403,False,Status 403 or empty
كاس العالم 2026,AYA SPORT HD,multi2,parser_sport_5,20449,https://prod-fastly-eu-west-1.video.pscp.tv/Transcoding/v1/hls/vp42fGyiR0wcwTReumotDgYgKbwneCdegiWleWDNWotXueaRqu0plPRy0iUaCUHLwyFI4Bhgn9MMfOP_2vX6qw/non_transcode/eu-west-1/periscope-replay-direct-prod-eu-west-1-public/master_dynamic_delta.m3u8?type=live,403,False,Status 403 or empty
